Id_changed,company_name,old_id,new_id
11176,Harris Computer Systems,000LHB-E,06C0WB-E
20090,Quest Group,07TNRS-E,07PN9Y-E
26519,Prodigy Government Services,0CSS28-E,0JZ01N-E
29258,Henkel,002PBB-E,002PBB-E
33642,Burberry,05JSWX-E,05JSWX-E
34894,SailPoint,007Y41-E,007Y41-E
3510,Lazy Days RV,0J7VQL-E,0J7VQL-E
3546,Asurion Corporation,0M13HW-E,062H2C-E
44373,Omega Pharma,097375-E,0M2HMT-E
53464,JD.com,06WG2L-E,06WG2L-E
44200,The Bank of Greene County,06YZ3H-E,0026VB-E
50266,MONFINANCIER,09QR4H-E,0BXMQS-E