company_id,Old,New fs_entity_id
248,07KJPN-E,068SR5-E
420,05L8TP-E,00FD97-E
1731,0B7V86-E,0D7N1X-E
2848,06Y1XN-E,000L50-E
8951,05SMHN-E,00GMW8-E
17313,004MYG-E,08BFNX-E
18007,00G04M-E,0C3S1Q-E
24491,001ZVW-E,002Q0C-E
41034,05Q67M-E,0C6RQT-E
44794,0JN531-E,0FTNJ4-E
52907,000F5M-E,003JMZ-E
10150,-9999,
11004,-9999,
11080,-9999,
1220,-9999,
12203,-9999,
12211,-9999,
12276,-9999,
12381,-9999,
12448,-9999,
12561,-9999,
12568,-9999,
12835,-9999,
12860,-9999,
13174,-9999,
13466,-9999,
1388,-9999,
13962,-9999,
14489,-9999,
147,-9999,
14733,-9999,
15278,-9999,
15318,-9999,
15720,-9999,
1639,-9999,
17128,-9999,
17961,-9999,
18217,-9999,
18303,-9999,
18319,-9999,
18434,-9999,
18530,-9999,
18677,-9999,
18733,-9999,
18838,-9999,
19020,-9999,
19081,-9999,
19115,-9999,
19328,-9999,
19333,-9999,
19479,-9999,
19670,-9999,
19703,-9999,
19906,-9999,
19942,-9999,
20043,-9999,
20078,-9999,
20316,-9999,
20855,-9999,
20857,-9999,
20876,-9999,
20877,-9999,
21037,-9999,
2111,-9999,
21226,-9999,
21248,-9999,
21562,-9999,
21939,-9999,
23329,-9999,
2374,-9999,
23756,-9999,
23941,-9999,
23962,-9999,
24029,-9999,
24092,-9999,
24102,-9999,
24208,-9999,
25136,-9999,
25745,-9999,
26032,-9999,
26161,-9999,
26802,-9999,
27019,-9999,
27112,-9999,
27175,-9999,
27639,-9999,
27746,-9999,
2797,-9999,
28011,-9999,
2845,-9999,
29343,-9999,
3044,-9999,
31029,-9999,
31775,-9999,
32380,-9999,
32429,-9999,
32558,-9999,
32696,-9999,
32818,-9999,
32909,-9999,
32941,-9999,
33501,-9999,
33727,-9999,
33870,-9999,
33991,-9999,
34007,-9999,
34115,-9999,
34756,-9999,
34900,-9999,
35183,-9999,
35559,-9999,
35818,-9999,
35908,-9999,
36020,-9999,
36362,-9999,
36373,-9999,
36396,-9999,
36559,-9999,
36799,-9999,
37683,-9999,
37851,-9999,
37904,-9999,
38520,-9999,
38546,-9999,
39041,-9999,
39665,-9999,
39741,-9999,
39867,-9999,
40033,-9999,
40436,-9999,
40528,-9999,
40711,-9999,
40721,-9999,
40824,-9999,
40842,-9999,
41713,-9999,
41928,-9999,
42262,-9999,
42934,-9999,
42976,-9999,
43206,-9999,
437,-9999,
44171,-9999,
44175,-9999,
44444,-9999,
44498,-9999,
44550,-9999,
44562,-9999,
44677,-9999,
45222,-9999,
45430,-9999,
45652,-9999,
45657,-9999,
45695,-9999,
46092,-9999,
46572,-9999,
46809,-9999,
46832,-9999,
46851,-9999,
47359,-9999,
48051,-9999,
4852,-9999,
48523,-9999,
48744,-9999,
49203,-9999,
49856,-9999,
49990,-9999,
49992,-9999,
5032,-9999,
5166,-9999,
52132,-9999,
52179,-9999,
52195,-9999,
52684,-9999,
5273,-9999,
53095,-9999,
53485,-9999,
55635,-9999,
5592,-9999,
56591,-9999,
56865,-9999,
57213,-9999,
57235,-9999,
58076,-9999,
58079,-9999,
58178,-9999,
58394,-9999,
58400,-9999,
58637,-9999,
58726,-9999,
59696,-9999,
59852,-9999,
60074,-9999,
60238,-9999,
60308,-9999,
60344,-9999,
60479,-9999,
60548,-9999,
60932,-9999,
61121,-9999,
61159,-9999,
61212,-9999,
61252,-9999,
61314,-9999,
61489,-9999,
61610,-9999,
61633,-9999,
61820,-9999,
61898,-9999,
61996,-9999,
62025,-9999,
62081,-9999,
62452,-9999,
62534,-9999,
62616,-9999,
62755,-9999,
62796,-9999,
62847,-9999,
63212,-9999,
63246,-9999,
63316,-9999,
63541,-9999,
63665,-9999,
63711,-9999,
63738,-9999,
63757,-9999,
63830,-9999,
63841,-9999,
64221,-9999,
64257,-9999,
64262,-9999,
64283,-9999,
64454,-9999,
64474,-9999,
64769,-9999,
6510,-9999,
652,-9999,
6944,-9999,
7390,-9999,
7455,-9999,
7674,-9999,
7953,-9999,
8126,-9999,
8151,-9999,
8611,-9999,
874,-9999,
8756,-9999,
8816,-9999,
8861,-9999,
8918,-9999,
9202,-9999,
9206,-9999,
9305,-9999,
9555,-9999,
9698,-9999,